
STATUS | wrapper  | 2012/08/17 04:22:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:22:50 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:22:50 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:22:50 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:22:50 | 
STATUS | wrapper  | 2012/08/17 04:22:51 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:22:53 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:22:54 | DemoApp: Initializing...
INFO   | jvm 1    | 2012/08/17 04:22:54 | Demo: start()
INFO   | jvm 1    | 2012/08/17 04:22:54 | Demo: Showing dialog...
STATUS | wrapper  | 2012/08/17 04:22:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:22:55 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:22:55 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:22:55 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:22:55 | 
STATUS | wrapper  | 2012/08/17 04:22:55 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:22:56 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:22:56 | DemoApp: Initializing...
INFO   | jvm 1    | 2012/08/17 04:22:56 | Started and waiting for a command from the Demo Application
INFO   | jvm 1    | 2012/08/17 04:23:08 | Stopping...
INFO   | jvm 1    | 2012/08/17 04:23:08 | Read action: finish
INFO   | jvm 1    | 2012/08/17 04:23:09 | Demo: stop(0)
INFO   | jvm 1    | 2012/08/17 04:23:09 | Demo: stop(0)
STATUS | wrapper  | 2012/08/17 04:23:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:23:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:33:21 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:33:21 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:33:21 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:33:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:33:21 | 
STATUS | wrapper  | 2012/08/17 04:33:21 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:33:21 | Error: Could not find or load main class org.tanukisoftware.wrapper.WrapperSiimpleApp
ERROR  | wrapper  | 2012/08/17 04:33:21 | JVM exited while loading the application.
STATUS | wrapper  | 2012/08/17 04:33:26 | Launching a JVM...
INFO   | jvm 2    | 2012/08/17 04:33:26 | Error: Could not find or load main class org.tanukisoftware.wrapper.WrapperSiimpleApp
ERROR  | wrapper  | 2012/08/17 04:33:26 | JVM exited while loading the application.
STATUS | wrapper  | 2012/08/17 04:33:29 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2012/08/17 04:33:29 | <-- Wrapper Stopped
STATUS | wrapper  | 2012/08/17 04:33:39 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/08/17 04:33:39 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/08/17 04:33:39 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/08/17 04:33:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/08/17 04:33:39 | 
STATUS | wrapper  | 2012/08/17 04:33:40 | Launching a JVM...
INFO   | jvm 1    | 2012/08/17 04:33:40 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/08/17 04:33:40 | 
INFO   | jvm 1    | 2012/08/17 04:33:40 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2012/08/17 04:33:40 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2012/08/17 04:33:40 | 
INFO   | jvm 1    | 2012/08/17 04:33:40 | Where:
INFO   | jvm 1    | 2012/08/17 04:33:40 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2012/08/17 04:33:40 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2012/08/17 04:33:40 |                   application.
ERROR  | wrapper  | 2012/08/17 04:33:42 | JVM exited while loading the application.
STATUS | wrapper  | 2012/08/17 04:33:46 | Launching a JVM...
INFO   | jvm 2    | 2012/08/17 04:33:47 | WrapperManager: Initializing...
INFO   | jvm 2    | 2012/08/17 04:33:47 | 
